對曰：「臣嘗有罪，【竊】計欲亡走燕。」〈廉頗〉	私下
廉頗送至境，與王【訣】曰。〈廉頗〉	告別
於是秦王不【懌】，為一擊?。〈廉頗〉	高興/喜悅
秦王恐其破璧，【乃】辭謝固請，召有司案圖，指從此以往十五都予趙。〈廉頗〉	於是
秦王恐其破璧，乃【辭】謝固請，召有司案圖，指從此以往十五都予趙。〈廉頗〉	婉言道歉
秦王恐其破璧，乃辭謝【固】請，召有司案圖，指從此以往十五都予趙。〈廉頗〉	堅決
秦王恐其破璧，乃辭謝固【請】，召有司案圖，指從此以往十五都予趙。〈廉頗〉	請求
秦王恐其破璧，乃辭謝固請，召【有司】案圖，指從此以往十五都予趙。〈廉頗〉	官吏
秦王恐其破璧，乃辭謝固請，召有司【案】圖，指從此以往十五都予趙。〈廉頗〉	按
秦王恐其破璧，乃辭謝固請，召有司案【圖】，指從此以往十五都予趙。〈廉頗〉	地圖
秦王恐其破璧，乃辭謝固請，召有司案圖，指從此以往十五【都】予趙。〈廉頗〉	城
相如度秦王【特】以詐詳為予趙城。〈廉頗〉	僅/只是
相如度秦王特以詐【詳】為予趙城。〈廉頗〉	假裝
相如謂臣曰：『夫趙【彊】而燕弱，而君幸於趙王，今君乃亡趙走燕。」〈廉頗〉	強
相如謂臣曰：『夫趙彊而燕弱，而君【幸】於趙王，今君乃亡趙走燕。」〈廉頗〉	寵幸
相如謂臣曰：『夫趙彊而燕弱，而君幸於趙王，今君【乃】亡趙走燕。」〈廉頗〉	卻/竟然
相如【度】秦王雖齋，決負約不償城。〈廉頗〉	揣度
璧有【瑕】，請指示王。〈廉頗〉	斑點
【拜】相如為上大夫。〈廉頗〉	拜封
乃使其從者【衣】褐，懷其璧，從徑道亡，歸璧於趙。〈廉頗〉	穿著
乃使其從者衣【褐】，懷其璧，從徑道亡，歸璧於趙。〈廉頗〉	（老百姓穿的）粗布便衣
【求】人可使報秦者，未得。〈廉頗〉	徵求
唯大王與群臣【孰】計議之。〈廉頗〉	詳細
秦王大喜，傳以示美人及【左右】，左右皆呼萬歲。〈廉頗〉	左右侍從人員
已而，相如【出】，望見廉頗，相如引車避匿。〈廉頗〉	離開
已而，相如出，望見廉頗，相如【引】車避匿。〈廉頗〉	調轉方向
已而，相如出，望見廉頗，相如引車【避匿】。〈廉頗〉	躲避/藏匿
相如張目【叱】之，左右皆靡。〈廉頗〉	吆喝
相如張目叱之，左右皆【靡】。〈廉頗〉	退卻
臣【誠】恐見欺於王而負趙，故令人持璧歸，間至趙矣。〈廉頗〉	確實
臣誠恐見欺於王而【負】趙，故令人持璧歸，間至趙矣。〈廉頗〉	辜負
臣誠恐見欺於王而負趙，故令人持璧歸，【間】至趙矣。〈廉頗〉	小路
臣所以去親戚而事君者，【徒】慕君之高義也。〈廉頗〉	僅/只不過
臣所以去親戚而事君者，徒【慕】君之高義也。〈廉頗〉	愛慕/敬仰
王【必】無人，臣願奉璧往使。〈廉頗〉	倘若
王必無人，臣願【奉】璧往使。〈廉頗〉	奉上
【拜】送書於庭。何者？嚴大國之威以修敬也。〈廉頗〉	行叩拜禮
拜送書於【庭】。何者？嚴大國之威以修敬也。〈廉頗〉	國君聽政的朝堂
拜送書於庭。何者？【嚴】大國之威以修敬也。〈廉頗〉	尊重
大王遣一【介】之使至趙，趙立奉璧來。〈廉頗〉	個
『秦貪，【負】其彊 ，以空言求璧，償城恐不可得』。〈廉頗〉	恃著
遂許齋五日，【舍】相如廣成傳。〈廉頗〉	安置
今殺相如，終不能得璧也，【而】絕秦趙之驩。〈廉頗〉	反而
十日不還，則請立太子為王，以絕秦【望】。〈廉頗〉	（要脅的）念頭
王【許】之，遂與秦王會澠池。〈廉頗〉	答應
秦王【竟】酒〈廉頗〉	完畢
趙亦盛【設】兵以待秦，秦不敢動。〈廉頗〉	部署
趙亦盛設兵以【待】秦，秦不敢動。〈廉頗〉	防備
【已而】相如出，望見廉頗，相如引車避匿。〈廉頗〉	過了些時候
公之視廉將軍【孰】與秦王 ？〈廉頗〉	誰
相如雖【駑】，獨畏廉將軍哉？〈廉頗〉	愚鈍無能
相如雖駑，【獨】畏廉將軍哉？〈廉頗〉	難道
【卒】相與驩，為刎頸之交。〈廉頗〉	最終
生乎吾前，其【聞】道也。〈師說〉	懂得/明白
吾師【道】也，夫庸知其年之先後生於吾乎？〈師說〉	道理/儒家道統及學說
吾師道也，夫【庸】知其年之先後生於吾乎？〈師說〉	豈、難道
【固】先乎吾，吾從而師之。〈師說〉	本來
【是故】無貴無賤。〈師說〉	因此
是故無【貴】無賤。〈師說〉	高貴
是故無貴無【賤】。〈師說〉	卑賤
嗟乎！【師道】之不傳也久矣！〈師說〉	從師學習的正確態度
聖人之所以為聖，愚人之所以為愚，【其】皆出於此乎！〈師說〉	大概
師者，所以傳【道】、受業、解惑也。〈師說〉	儒家之道統/學說
愛其子，【擇】師而教之。〈師說〉	選擇
古之聖人，【其】出人也遠矣。〈師說〉	聖人
古之聖人，其【出】人也遠矣。〈師說〉	超越
彼童子之師，授之書而習其【句讀】者。〈師說〉	句逗，文辭停頓處
【小】學而大遺，吾未見其明也。〈師說〉	小問題/句讀之學
小學而【大】遺，吾未見其明也。〈師說〉	大道理
師者，所以傳道、【受】業、解惑也。〈師說〉	講授
彼與彼【年】相若也，道相似也。〈師說〉	年齡
彼與彼年相若也，【道】相似也。〈師說〉	學問
巫、醫、樂師、百工之人，【君子】不齒。〈師說〉	士大夫
於其身也則【恥】師焉，惑矣！〈師說〉	以......為羞恥
師者，所以傳道、受【業】、解惑也。〈師說〉	學業 /古代經、史、諸子之學及古文寫作
【位卑】則足羞。〈師說〉	地位低下
師道之不【復】，可知矣。〈師說〉	恢復
巫、醫、樂師、百工之人，君子不【齒】。〈師說〉	並列
師者，所以傳道、受業、【解】惑也。〈師說〉	解答
師者，所以傳道、受業、解【惑】也。〈師說〉	疑難/疑惑
聞道有先後，術【業】有專攻。〈師說〉	技藝
六藝經傳，皆通習之；不【拘】於時。〈師說〉	拘泥
人非生而知之者，【孰】能無惑？〈師說〉	誰人
【官盛】則近諛。〈師說〉	地位高
官盛則近【諛】。〈師說〉	諂媚、奉承
【猶且】從師而問焉。〈師說〉	尚且
小學而大【遺】，吾未見其明也。〈師說〉	遺漏、忽略
余【嘉】其能行古道。〈師說〉	讚許
余嘉其能【行】古道。〈師說〉	踐行/實踐
固先乎吾，吾【從】而師之。〈師說〉	跟從
作《師說》以【貽】之。〈師說〉	贈送
聞道有先後，【術】業有專攻。〈師說〉	學術
【竹喧】歸浣女〈山居秋瞑〉	竹林裏的喧鬧聲
竹喧歸【浣女】〈山居秋瞑〉	洗衣女
隨意【春芳】歇〈山居秋瞑〉	春天的花花草草
【王孫】自可留〈山居秋瞑〉	隱士
【錦江】春色來天地〈登樓〉	岷江的支流
【玉壘】浮雲變古今〈登樓〉	山名
【北極】朝廷終不改〈登樓〉	北極星，比喻北方的朝廷
【西山寇盜】莫相侵〈登樓〉	吐蕃
可憐後主【還】祠廟〈登樓〉	仍然 / 回還
可憐【後主】還祠廟〈登樓〉	蜀漢的劉禪
日【暮】聊為〈梁甫吟〉〈登樓〉	黃昏
日暮【聊】為〈梁甫吟〉 〈登樓〉	姑且
獨酌無【相親】〈月下獨酌〉	可相親近的人
影【徒】隨我身〈月下獨酌〉	徒然/空
暫伴月【將】影〈月下獨酌〉	和、共
行樂須【及】春〈月下獨酌〉	趁?
我歌月【徘徊】〈月下獨酌〉	往返迴旋、來回走動
我【舞】影零亂〈月下獨酌〉	舞劍
我舞影【零亂】〈月下獨酌〉	散亂
醒時同【交歡】〈月下獨酌〉	一同歡樂
醉後各【分散】〈月下獨酌〉	離散、別離
永結【無情】遊〈月下獨酌〉	忘情
【相期】邈雲漢〈月下獨酌〉	相約
相期【邈】雲漢〈月下獨酌〉	遙遠
相期邈【雲漢】〈月下獨酌〉	銀漢、銀河
君子曰：學不可以【已】。〈勸學〉	停頓不前。
雖有【槁】暴、不復挺者。〈勸學〉	枯乾
吾嘗【跂】而望矣。〈勸學〉	舉足/提起腳後跟
故木【受繩】則直。〈勸學〉	受繩：被工匠以墨繩校正。
故木【受】繩則直。〈勸學〉	接受
其曲【中】規。〈勸學〉	合於
其曲中【規】。〈勸學〉	圓規
【輮】以為輪。〈勸學〉	屈曲、烤彎
輮以為【輪】。〈勸學〉	車輪
青，【取】之於藍。〈勸學〉	提取
吾【嘗】終日而思矣，不如須臾之所學也。〈勸學〉	曾
吾嘗終日而思矣，不如【須臾】之所學也。〈勸學〉	片刻
登高而招，臂非【加】長也。〈勸學〉	更
金就【礪】則利。〈勸學〉	磨刀石/礪石
順風而呼，聲非加【疾】也。〈勸學〉	宏亮
君子博學而日【參】省乎己。〈勸學〉	檢討
假舟【楫】者。〈勸學〉	船隻
而【絕】江河。〈勸學〉	橫渡
非【利】足也。〈勸學〉	快速
金【就】礪則利。〈勸學〉	接近/靠近
君子【生】非異也，善假於物也。〈勸學〉	天賦
君子博學而日【參】省乎己。〈勸學〉	檢討
君子博學而日參【省】乎己。〈勸學〉	反省
雖有【槁】暴、不復挺者。〈勸學〉	枯乾
雖有槁【暴】、不復挺者。〈勸學〉	曬乾
雖有槁暴、不復【挺】者。〈勸學〉	筆直
輮使之【然】也。〈勸學〉	如此
則【知】明而行無過矣。〈勸學〉	智慧
則知明而【行】無過矣。〈勸學〉	行為
聲非加疾也，而聞者【彰】。〈勸學〉	清楚
【假】輿馬者，非利足也，而致千里。〈勸學〉	加借/憑藉/利用
假【輿】馬者，非利足也，而致千里。〈勸學〉	車馬
假輿馬者，非【利】足也，而致千里。〈勸學〉	迅疾/便利
假輿馬者，非利足也，而【致】千里。〈勸學〉	到達
則知明而【行】無過矣。〈勸學〉	行為
君子生非異也，善假於【物】也。〈勸學〉	外物/客觀條件
非能【水】也。〈勸學〉	游泳
不如登高之【博】見也。〈勸學〉	廣闊
積土成山，風雨【興】焉。〈勸學〉	生
積善成德，而【神明】自得，聖心備焉。〈勸學〉	(常人的)神智
積善成德，而神明【自得】，聖心備焉。〈勸學〉	從容
積善成德，而神明自得，【聖心】備焉。〈勸學〉	聖人的精神境界
積善成德，而神明自得，聖心【備】焉。〈勸學〉	具備
故不積【跬步】 ，無以至千里。〈勸學〉	半步
【騏驥】一躍，不能十步。〈勸學〉	駿馬
【駑馬】十駕，功在不舍。〈勸學〉	質素低劣的馬
駑馬【十駕】，功在不舍。〈勸學〉	十日之程
【鍥】而舍之，朽木不折。〈勸學〉	雕刻
鍥而舍之，【朽】木不折。〈勸學〉	腐爛
鍥而不舍，金石可【鏤】。〈勸學〉	雕刻
【螾】無爪牙之利。〈勸學〉	蚯蚓
上食【埃土】，下飲黃泉。〈勸學〉	土壤
蟹六【跪】而二螯。〈勸學〉	足、腳
蟹六跪而二【螯】。〈勸學〉	蟹鉗
非【蛇蟺】之穴無可寄託者，用心躁也。〈勸學〉	鮀、鱔
非蛇蟺之穴無可寄託者，用心【躁】也。〈勸學〉	浮躁、不專心
積善成德，而神明自【得】，聖心備焉。〈勸學〉	獲得 (注：另一合理解法)
【浮光】躍金〈岳〉	浮動在水面的月影
【越】明年〈岳〉	過了
浮光【躍】金〈岳〉	跳動
前人之【述】備矣〈岳〉	描述
前人之述【備】矣〈岳〉〉	完備/詳盡
浩浩【湯湯】〈岳〉	形容水勢浩瀚
沙鷗【翔】集〈岳〉	飛翔
沙鷗翔【集】〈岳〉	聚集、棲息
陰風【怒】號〈岳〉	強勁
陰風怒【號】〈岳〉	呼嘯
心【曠】神怡〈岳〉	開朗
心曠神【怡】〈岳〉	悅樂
百廢【具】興〈岳〉	全部
【寵】辱皆忘〈岳〉	得寵
寵【辱】皆忘〈岳〉	受辱
滿目【蕭然】〈岳〉	蕭條冷落
其喜【洋洋】者矣〈岳〉	自得之貌
【把】酒臨風〈岳〉	持
把酒【臨】風〈岳〉	對
【去】國懷鄉〈岳〉	離開
薄暮【冥冥】〈岳〉	昏暗
【霪】雨霏霏〈岳〉	過量
霪雨【霏霏】〈岳〉	雨線細密
【或】異二者之為〈岳〉	或許
或【異】二者之為〈岳〉	不同
居【廟堂】之高〈岳〉	朝廷
處【江湖】之遠〈岳〉	民間或遠離朝廷的地方
【微】斯人〈岳〉	無/如果沒有
【檣】傾楫摧〈岳〉	船桅
檣傾【楫】摧〈岳〉	船槳
檣【傾】楫摧〈岳〉	倒下
檣傾楫【摧】〈岳〉	摧毀
吾誰與【歸】〈岳〉	效法、依歸
靜【影】沉璧〈岳〉	月影
靜影沉【璧】〈岳〉	白玉
岸【芷】汀【蘭】〈岳〉	香草
岸芷【汀】蘭〈岳〉	小洲
【郁郁】青青〈岳〉	色彩豐盛、香氣濃郁
【增】其舊制〈岳〉	擴大
增其舊【制】〈岳〉	規模
滕子京【謫】守巴陵郡〈岳〉	貶官
【屬】予作文以記之。〈岳〉	囑咐
予觀夫巴陵【勝狀】。〈岳〉	美景
【橫】無際涯。〈岳〉	廣闊
朝【暉】夕陰。〈岳〉	明亮
【然則】北通巫峽〈岳〉	既然這樣
【遷】客騷人，多會於此。〈岳〉	遷謫
遷客騷人，多【會】於此。〈岳〉	聚集
覽物之【情】，得無異乎？〈岳〉	心情
覽物之情，【得】無異乎？〈岳〉	能夠
山岳【潛】形〈岳〉	隱藏
山岳潛【形】〈岳〉	形跡
登【斯】樓也〈岳〉	此、這
憂【讒】畏譏〈岳〉	壞話
憂讒畏【譏】〈岳〉	譏諷
長煙【一】空〈岳〉	完全
長煙一【空】〈岳〉	消散
此樂何【極】〈岳〉	窮盡
予【嘗】求古仁人之心〈岳〉	曾經
郁郁【青青】〈岳〉	茂盛貌
?州【疲敝】〈出師表〉	國力困乏
此【誠】危急存亡之秋也〈出師表〉	實在。
此誠危急存亡之【秋】也〈出師表〉	時刻、關頭。
【蓋】追先帝之殊遇〈出師表〉	因為、由於
【然】侍?之臣，不懈於內〈出師表〉	然而
然侍?之臣，不【懈】於內〈出師表〉	懈怠
忠志之士，【忘身】於外者〈出師表〉	奮不顧身，不怕犧牲
誠宜開張聖聽 ，以【光】先帝遺德〈出師表〉	發揚光大
是以眾議【舉】寵為督〈出師表〉	舉薦
【苟】全性命於亂世，不求聞達於諸侯〈出師表〉	姑且
苟全性命於亂世，不求【聞】達於諸侯〈出師表〉	聞名
苟全性命於亂世，不求聞【達】於諸侯〈出師表〉	顯達
先帝不以臣【卑】鄙〈出師表〉	低下
先帝不以臣卑【鄙】〈出師表〉	鄙陋
【猥自】枉屈〈出師表〉	委曲（謙辭，降低身份之意）
猥自【枉屈】〈出師表〉	委屈
三【顧】臣於草廬之中〈出師表〉	看望
遂【許】先帝以驅馳〈出師表〉	答應
遂許先帝以【驅馳】〈出師表〉	奔走效勞
後值【傾覆】，受任於敗軍之際〈出師表〉	兵敗
【爾來】二十有一年矣〈出師表〉	從那時以來
【夙夜】憂歎，恐託付不效〈出師表〉	早晚
夙夜憂歎，恐託付【不效】〈出師表〉	不能完成
故五月渡瀘，深入【不毛】〈出師表〉	土地貧瘠或未經開發之地
【爾來】二十有一年矣〈出師表〉	從那時以來
蓋追先帝之【殊遇】〈出師表〉	特別厚待。
【恢弘】志士之氣〈出師表〉	發揚、擴大
不宜【妄】自菲薄〈出師表〉	胡亂地。
不宜妄自【菲薄】〈出師表〉	輕視。
引喻失【義】〈出師表〉	社會所認為合宜的道理和行為。
以【塞】忠諫之路也〈出師表〉	堵塞
【陟】罰臧否〈出師表〉	提拔、晉升
陟罰【臧】否〈出師表〉	褒揚 / 善
陟罰臧【否】〈出師表〉	貶斥 / 惡
若有作姦犯【科】〈出師表〉	法律條文。
宜付【有司】〈出師表〉	主管的官員。
以【昭】陛下平明之治〈出師表〉	彰顯。
以昭陛下【平明】之治〈出師表〉	公平、清明
以昭陛下平明之【治】〈出師表〉	施政。
【志慮】忠純〈出師表〉	心志、思慮。
志慮【忠純】〈出師表〉	忠貞、純正。
【行陣】和睦〈出師表〉	軍隊。
【悉】以咨之〈出師表〉	全部。
悉以【咨】之〈出師表〉	諮詢。
悉以咨【之】〈出師表〉	上述各人。
必能【裨】補闕漏，有所廣益〈出師表〉	彌補。
必能裨補【闕漏】，有所廣益〈出師表〉	缺憾及遺漏之處。
將軍向寵，【性】行淑均〈出師表〉	性情
將軍向寵，性行【淑】均〈出師表〉	善?。
將軍向寵，性行淑【均】〈出師表〉	公平、公正。
是以先帝簡拔以【遺】陛下〈出師表〉	留下。
【是以】先帝簡拔以遺陛下〈出師表〉	所以。
是以先帝【簡拔】以遺陛下〈出師表〉	選拔。
親賢臣，【遠】小人〈出師表〉	疏遠
【貞】?死節之臣〈出師表〉	堅定?移。
貞【?】死節之臣〈出師表〉	信實。
貞?【死節】之臣〈出師表〉	以死守節。
【兵甲】已足〈出師表〉	兵器、鎧甲，借代為軍備。
當獎【帥】三軍〈出師表〉	通「率」，統率、率領。
【庶】竭駑鈍，攘除姦凶〈出師表〉	希望
庶竭【駑鈍】，攘除姦凶〈出師表〉	能力低下，愚鈍。
【斟酌】損益〈出師表〉	衡量、考慮。
斟酌【損益】〈出師表〉	減損與增益，指處事掌握分寸，考慮取捨。
若無【興】德之言，則責攸之、禕、允等之慢，以彰其咎。〈出師表〉	發揚。
若無興德之言，則責攸之、禕、允等之【慢】，以彰其咎。〈出師表〉	怠慢
若無興德之言，則責攸之、禕、允等之慢，以【彰】其咎。〈出師表〉	彰顯
若無興德之言，則責攸之、禕、允等之慢，以彰其【咎】。〈出師表〉	過失。
陛下亦宜【自謀】〈出師表〉	自我思考
陛下亦宜自【謀】〈出師表〉	謀劃，思考。
【諮諏】善道〈出師表〉	徵詢、商?。
諮諏善【道】〈出師表〉	途徑、方法，引申指治國策?。
察納【雅言】〈出師表〉	正確合理的言論。
【臨表】涕泣〈出師表〉	臨行上表。
臨表【涕泣】〈出師表〉	流淚哭泣。
後【值】傾覆，受任於敗軍之際〈出師表〉	適逢
若有作【姦】、犯科，及為忠善者〈出師表〉	邪惡的事
攘除【姦】凶〈出師表〉	奸詐
【察】納雅言〈出師表〉	審察
將軍向寵，性【行】淑均〈出師表〉	品行
千古【風流人物】〈念奴嬌〉	指傑出的歷史名人。
【遙想】公瑾當年〈念奴嬌〉	形容想得很遠，回憶。
【羽扇】綸巾〈念奴嬌〉	用白羽毛製成的扇
羽扇【綸巾】〈念奴嬌〉	用絲帶製成的頭巾
【檣】櫓灰飛煙滅〈念奴嬌〉	船的桅杆。
檣【櫓】灰飛煙滅〈念奴嬌〉	船槳。
【故國】神遊〈念奴嬌〉	代指赤壁故地。
早生【華】髮〈念奴嬌〉	半白的。
【一尊】還酹江月〈念奴嬌〉	通「樽」，借作酒。
一尊還【酹】江月〈念奴嬌〉	以酒灑在地上表示祭奠。
【星】如雨〈青玉案〉	煙花
【寶馬】雕車香滿路〈青玉案〉	名貴的駿馬
寶馬【雕車】香滿路〈青玉案〉	飾有雕花、彩繪的車
寶馬雕車【香】滿路〈青玉案〉	人的衣鬢之香
【玉壺】光轉〈青玉案〉	明月/白玉造的燈/漏壺（古代計時器）
一夜【魚龍】舞〈青玉案〉	指舞動魚形、龍形的彩燈。
【蛾兒】雪柳黃金縷〈青玉案〉	（古代婦女於元宵節前後插戴在頭上，用烏金紙剪裁成蝶或蛾狀的）應時飾物
蛾兒【雪柳】黃金縷〈青玉案〉	（宋代婦女在立春日和元宵節時插戴的一種絹或紙製成的）頭花
蛾兒雪柳黃金【縷】〈青玉案〉	線狀物
蛾兒雪柳【黃金縷】〈青玉案〉	（古代婦女戴在頭上的）金色頭飾
笑語【盈盈】暗香去〈青玉案〉	含情的樣子
眾裏尋他千百【度】〈青玉案〉	次、回
【驀然】迴首〈青玉案〉	突然/忽然
那人卻在、燈火【闌珊】處〈青玉案〉	暗淡/零落
【乍】煖還寒〈聲聲慢〉	忽然。
最難【將息】〈聲聲慢〉	調養、休息。
怎【敵】他〈聲聲慢〉	對付、抵擋
憔悴損】〈聲聲慢〉	全句指菊花凋謝枯萎。
獨自【怎】生得黑！〈聲聲慢〉	怎樣
獨自怎【生】得黑！〈聲聲慢〉	語助詞。
獨自怎生得【黑】！〈聲聲慢〉	天黑
這【次第】〈聲聲慢〉	一連串光景、情形。
怎一箇愁字【了得】！〈聲聲慢〉	概括得了。
故不為【苟】得也〈魚我所欲也〉	隨便、輕率之意。
死亦我所【惡】〈魚我所欲也〉	憎厭。
故患有所不【辟】也〈魚我所欲也〉	避
【使】人之所惡莫甚於死者〈魚我所欲也〉	假如
賢者能勿喪【耳】〈魚我所欲也〉	罷了、而已
一【簞】食〈魚我所欲也〉	盛飯的竹器
一【豆】羹〈魚我所欲也〉	盛食之器
【弗】得則死〈魚我所欲也〉	不
【?】爾而與之〈魚我所欲也〉	大聲呼
【行道之人】弗受〈魚我所欲也〉	路人。
行道之人【弗受】〈魚我所欲也〉	不肯接受。
【蹴】爾而與之〈魚我所欲也〉	踐踏。
蹴爾而【與】之〈魚我所欲也〉	給予。
【乞人】不屑也〈魚我所欲也〉	行乞之人。
乞人【不屑】也〈魚我所欲也〉	輕視。
【萬鍾】則不辯禮義而受之〈魚我所欲也〉	極多。
萬鍾則不【辯】禮義而受之〈魚我所欲也〉	辨別。
萬鍾於我何【加】焉〈魚我所欲也〉	增益。
萬鍾於我【何加】焉〈魚我所欲也〉	有甚麼好處。
妻妾之【奉】〈魚我所欲也〉	祿食。
所識窮乏者得我【與】〈魚我所欲也〉	通「歟」，嗎。
【鄉】為身死而不受〈魚我所欲也〉	通「向」，過往。
是亦不可以【已】乎〈魚我所欲也〉	停止。
此之謂失其【本心】〈魚我所欲也〉	羞惡之心。
【兵】不利〈六國論〉	兵器
兵不【利】〈六國論〉	鋒利
【戰】不善〈六國論〉	作戰
【弊】在賂秦〈六國論〉	弊端/癥結
弊在【賂】秦〈六國論〉	賄賂。
賂秦而【力】虧〈六國論〉	國力
賂秦而力【虧】〈六國論〉	損耗。
破滅之【道】也〈六國論〉	道理、理由、關鍵原因。
六國【互喪】，率賂秦耶〈六國論〉	相繼滅亡
六國互喪，【率】賂秦耶〈六國論〉	皆
不能【獨】完〈六國論〉	獨自
不能獨【完】〈六國論〉	保全
【思】厥先祖父〈六國論〉	想念；一解作助語詞，無義。
思【厥】先祖父〈六國論〉	其。指六國後人。
思厥【先】祖父〈六國論〉	先人
思厥先【祖】父〈六國論〉	祖輩。
思厥先祖【父】〈六國論〉	父輩。
【暴】霜露，斬荊棘〈六國論〉	冒著。
以有【尺寸】之地〈六國論〉	小塊的土地。
【舉】以予人〈六國論〉	全部
舉以【予】人〈六國論〉	給與
舉以予【人】〈六國論〉	他人。指秦國。
暴秦之欲無【厭】，奉之彌繁〈六國論〉	同「饜」；滿足。
暴秦之欲無厭，奉之【彌繁】〈六國論〉	愈頻繁
故不戰而強弱勝負已【判】矣〈六國論〉	清晰分明
至於【顛覆】〈六國論〉	敗亡、滅亡
此言【得之】〈六國論〉	說出其中道理
終繼五國【遷滅】〈六國論〉	亡國
【與】嬴而不助五國也〈六國論〉	幫助/親附/結交
【義】不賂秦〈六國論〉	以......為原則
【斯】用兵之效也〈六國論〉	此
【始】速禍焉〈六國論〉	才
始【速】禍焉〈六國論〉	加速
李牧【連】卻之〈六國論〉	接續
李牧連【卻】之〈六國論〉	擊退
【洎】牧以讒誅〈六國論〉	及至
【用武】而不終〈六國論〉	以武力抗秦
用武而不【終】〈六國論〉	終結，指堅持到底
且燕趙處秦【革】滅殆盡之際〈六國論〉	革除
且燕趙處秦革【滅】殆盡之際〈六國論〉	滅亡
【向使】三國各愛其地〈六國論〉	假使。
向使三國各【愛】其地〈六國論〉	吝惜。
則勝負之【數】〈六國論〉	命運。
【當】與秦相較〈六國論〉	假若。
【禮】天下之奇才〈六國論〉	禮賢下士。
?力西【嚮】〈六國論〉	通「向」，對。
秦人食之不得下【嚥】〈六國論〉	通「咽」，吞食。
積威之所【劫】〈六國論〉	威脅、懾服。
而從六國破亡之【故事】〈六國論〉	舊事、前例。
【然則】諸侯之地有限〈六國論〉	但是。
如棄草【芥】〈六國論〉	小草。
以地【事】秦，猶抱薪救火〈六國論〉	討好。
以地事秦，【猶】抱薪救火〈六國論〉	好像。
以地事秦，猶抱【薪】救火〈六國論〉	柴。
然後得一【夕】安寢〈六國論〉	夜。
諸侯之所大患，【固】不在戰矣。〈六國論〉	本來。
五國既喪，齊亦不【免】矣。〈六國論〉	倖免。
【是故】燕雖小國而後亡〈六國論〉	所以。
洎牧以【讒】誅。〈六國論〉	讒言、壞話。
戰敗而亡，【誠】不得已。〈六國論〉	確實。
且燕趙處秦革滅【殆】盡之際〈六國論〉	幾乎
不可以久處【樂】〈論語〉	安樂的生活。
不以其【道】得之，不處也〈論語〉	正當的方法。
不以其道得之，不【處】也〈論語〉	接受。
貧與賤，不以其道得之，不【去】也。〈論語〉	捨棄。
知者【利】仁〈論語〉	利用。
君子去仁，【惡】乎成名？〈論語〉	怎麼、如何。
君子無【終食之間】違仁，造次必於是 ，顛沛必於是。〈論語〉	吃完一餐飯的時間。
君子無終食之間違仁，【造次】必於是 ，顛沛必於是。〈論語〉	倉卒匆忙。
